 --- BEGIN HEADER ---
 Mass input into layers of the atmosphere by planetesimal breakup.
 Columns:
 [Height (cm)]  [mass input (g/cm^3/s)]
 --- END HEADER ---
 
 --- BEGIN DATA ---
   13815000000.0000       4.783177890609084E-018
   13371000000.0000       6.814030188021575E-018
   12819000000.0000       1.030897327276094E-017
   12209000000.0000       1.472494236154579E-017
   11807000000.0000       1.841797669216326E-017
   11230000000.0000       2.340938014220856E-017
   10604000000.0000       3.126274159409264E-017
   10191000000.0000       4.549348059638595E-017
   9752900000.00000       5.337775621955192E-017
   9184400000.00000       6.222177268270587E-017
   8838400000.00000       8.850185434932450E-017
   8499800000.00000       1.313079240009745E-016
   8287800000.00000       7.217205204362008E-015
   7973500000.00000        0.00000000000000     
   7744000000.00000        0.00000000000000     
   7414600000.00000        0.00000000000000     
   7171400000.00000        0.00000000000000     
   6871700000.00000        0.00000000000000     
   6506600000.00000        0.00000000000000     
   6264100000.00000        0.00000000000000     
   5914700000.00000        0.00000000000000     
   5656600000.00000        0.00000000000000     
   5367600000.00000        0.00000000000000     
   5060200000.00000        0.00000000000000     
   4856700000.00000        0.00000000000000     
   4724200000.00000        0.00000000000000     
   4543000000.00000        0.00000000000000     
   4391200000.00000        0.00000000000000     
   4226400000.00000        0.00000000000000     
   4048400000.00000        0.00000000000000     
   3863400000.00000        0.00000000000000     
   3744100000.00000        0.00000000000000     
   3635900000.00000        0.00000000000000     
   3484000000.00000        0.00000000000000     
   3410400000.00000        0.00000000000000     
   3290900000.00000        0.00000000000000     
   3217400000.00000        0.00000000000000     
   3103700000.00000        0.00000000000000     
   3032000000.00000        0.00000000000000     
   2953500000.00000        0.00000000000000     
   2901000000.00000        0.00000000000000     
   2827600000.00000        0.00000000000000     
   2780700000.00000        0.00000000000000     
   2720900000.00000        0.00000000000000     
   2652100000.00000        0.00000000000000     
   2586600000.00000        0.00000000000000     
   2549100000.00000        0.00000000000000     
   2496900000.00000        0.00000000000000     
   2447400000.00000        0.00000000000000     
   2395300000.00000        0.00000000000000     
   2335900000.00000        0.00000000000000     
   2284000000.00000        0.00000000000000     
   2252100000.00000        0.00000000000000     
   2211000000.00000        0.00000000000000     
   2164500000.00000        0.00000000000000     
   2137700000.00000        0.00000000000000     
   2083300000.00000        0.00000000000000     
   2035100000.00000        0.00000000000000     
   2008100000.00000        0.00000000000000     
   1987600000.00000        0.00000000000000     
   1964100000.00000        0.00000000000000     
   1947200000.00000        0.00000000000000     
